/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2


Epoch:  45 | Loss: 0.002355 | Valid loss: 1.871 | F1 : 1.0 | Valid F1: 0.4878


Epoch:  46 | Loss: 0.00226 | Valid loss: 1.878 | F1 : 1.0 | Valid F1: 0.4878


Epoch:  47 | Loss: 0.002172 | Valid loss: 1.885 | F1 : 1.0 | Valid F1: 0.4878


Epoch:  48 | Loss: 0.00209 | Valid loss: 1.892 | F1 : 1.0 | Valid F1: 0.4878


Epoch:  49 | Loss: 0.002014 | Valid loss: 1.899 | F1 : 1.0 | Valid F1: 0.4878


Epoch:  50 | Loss: 0.001943 | Valid loss: 1.905 | F1 : 1.0 | Valid F1: 0.4878


Epoch:  51 | Loss: 0.001877 | Valid loss: 1.912 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  52 | Loss: 0.001815 | Valid loss: 1.918 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  53 | Loss: 0.001757 | Valid loss: 1.924 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  54 | Loss: 0.001703 | Valid loss: 1.93 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  55 | Loss: 0.001652 | Valid loss: 1.936 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  56 | Loss: 0.001603 | Valid loss: 1.942 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  57 | Loss: 0.001558 | Valid loss: 1.948 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  58 | Loss: 0.001514 | Valid loss: 1.953 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  59 | Loss: 0.001473 | Valid loss: 1.959 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  60 | Loss: 0.001435 | Valid loss: 1.964 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  61 | Loss: 0.001398 | Valid loss: 1.969 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  62 | Loss: 0.001363 | Valid loss: 1.975 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  63 | Loss: 0.001329 | Valid loss: 1.98 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  64 | Loss: 0.001297 | Valid loss: 1.985 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  65 | Loss: 0.001267 | Valid loss: 1.99 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  66 | Loss: 0.001238 | Valid loss: 1.994 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  67 | Loss: 0.00121 | Valid loss: 1.999 | F1 : 1.0 | Valid F1: 0.4942


Epoch:  68 | Loss: 0.001184 | Valid loss: 2.004 | F1 : 1.0 | Valid F1: 0.5005


Epoch:  69 | Loss: 0.001158 | Valid loss: 2.008 | F1 : 1.0 | Valid F1: 0.5005
