/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2


Epoch:   0 | Loss: 0.6723 | Valid loss: 0.6721 | F1 : 0.4389 | Valid F1: 0.4448


Epoch:   1 | Loss: 0.6624 | Valid loss: 0.6639 | F1 : 0.4527 | Valid F1: 0.4547


Epoch:   2 | Loss: 0.618 | Valid loss: 0.6286 | F1 : 0.673 | Valid F1: 0.6529


Epoch:   3 | Loss: 0.5667 | Valid loss: 0.599 | F1 : 0.7227 | Valid F1: 0.6881


Epoch:   4 | Loss: 0.5349 | Valid loss: 0.5842 | F1 : 0.7404 | Valid F1: 0.6978


Epoch:   5 | Loss: 0.5153 | Valid loss: 0.581 | F1 : 0.751 | Valid F1: 0.6982


Epoch:   6 | Loss: 0.4973 | Valid loss: 0.5785 | F1 : 0.7623 | Valid F1: 0.7031


Epoch:   7 | Loss: 0.4801 | Valid loss: 0.5763 | F1 : 0.7738 | Valid F1: 0.7033


Epoch:   8 | Loss: 0.4643 | Valid loss: 0.5754 | F1 : 0.7826 | Valid F1: 0.7045


Epoch:   9 | Loss: 0.4497 | Valid loss: 0.5764 | F1 : 0.7912 | Valid F1: 0.7106
Evaluating Test Dataset
Test F1: 0.7137 | Test Acc: 0.7123 


Epoch:   0 | Loss: 1.564 | Valid loss: 1.513 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   1 | Loss: 1.539 | Valid loss: 1.494 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   2 | Loss: 1.518 | Valid loss: 1.477 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   3 | Loss: 1.499 | Valid loss: 1.462 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   4 | Loss: 1.483 | Valid loss: 1.45 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   5 | Loss: 1.468 | Valid loss: 1.438 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   6 | Loss: 1.454 | Valid loss: 1.428 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   7 | Loss: 1.44 | Valid loss: 1.416 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   8 | Loss: 1.423 | Valid loss: 1.401 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   9 | Loss: 1.403 | Valid loss: 1.382 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:  10 | Loss: 1.387 | Valid loss: 1.369 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:  11 | Loss: 1.373 | Valid loss: 1.361 | F1 : 0.1143 | Valid F1: 0.1191


Epoch:  12 | Loss: 1.353 | Valid loss: 1.351 | F1 : 0.1955 | Valid F1: 0.2254


Epoch:  13 | Loss: 1.306 | Valid loss: 1.337 | F1 : 0.2051 | Valid F1: 0.2239


Epoch:  14 | Loss: 1.217 | Valid loss: 1.31 | F1 : 0.2211 | Valid F1: 0.2299


Epoch:  15 | Loss: 1.168 | Valid loss: 1.353 | F1 : 0.2488 | Valid F1: 0.2383


Epoch:  16 | Loss: 1.07 | Valid loss: 1.34 | F1 : 0.2635 | Valid F1: 0.2637


