/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2


Epoch:   0 | Loss: 0.6127 | Valid loss: 0.6251 | F1 : 0.6665 | Valid F1: 0.6457


Epoch:   1 | Loss: 0.5547 | Valid loss: 0.5883 | F1 : 0.7295 | Valid F1: 0.6905


Epoch:   2 | Loss: 0.5266 | Valid loss: 0.5789 | F1 : 0.7468 | Valid F1: 0.6965


Epoch:   3 | Loss: 0.5105 | Valid loss: 0.5807 | F1 : 0.7544 | Valid F1: 0.699


Epoch:   4 | Loss: 0.4945 | Valid loss: 0.582 | F1 : 0.7645 | Valid F1: 0.6991


Epoch:   5 | Loss: 0.4769 | Valid loss: 0.5818 | F1 : 0.7752 | Valid F1: 0.7008


Epoch:   6 | Loss: 0.4589 | Valid loss: 0.5818 | F1 : 0.7859 | Valid F1: 0.7041


Epoch:   7 | Loss: 0.441 | Valid loss: 0.5827 | F1 : 0.7968 | Valid F1: 0.7052


Epoch:   8 | Loss: 0.4259 | Valid loss: 0.5882 | F1 : 0.8049 | Valid F1: 0.7074


Epoch:   9 | Loss: 0.4115 | Valid loss: 0.596 | F1 : 0.811 | Valid F1: 0.7068
Evaluating Test Dataset
Test F1: 0.7053 | Test Acc: 0.7059 


Epoch:   0 | Loss: 1.597 | Valid loss: 1.534 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   1 | Loss: 1.533 | Valid loss: 1.484 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   2 | Loss: 1.486 | Valid loss: 1.454 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   3 | Loss: 1.427 | Valid loss: 1.427 | F1 : 0.125 | Valid F1: 0.1197


Epoch:   4 | Loss: 1.34 | Valid loss: 1.406 | F1 : 0.181 | Valid F1: 0.1672


Epoch:   5 | Loss: 1.301 | Valid loss: 1.477 | F1 : 0.1963 | Valid F1: 0.1957


Epoch:   6 | Loss: 1.126 | Valid loss: 1.397 | F1 : 0.2657 | Valid F1: 0.2504


Epoch:   7 | Loss: 1.039 | Valid loss: 1.454 | F1 : 0.3049 | Valid F1: 0.2692


Epoch:   8 | Loss: 0.9143 | Valid loss: 1.398 | F1 : 0.4126 | Valid F1: 0.2826


Epoch:   9 | Loss: 0.6562 | Valid loss: 1.339 | F1 : 0.6324 | Valid F1: 0.3926


Epoch:  10 | Loss: 0.6753 | Valid loss: 1.699 | F1 : 0.6568 | Valid F1: 0.3679


Epoch:  11 | Loss: 0.5786 | Valid loss: 1.554 | F1 : 0.6936 | Valid F1: 0.3823


Epoch:  12 | Loss: 0.3803 | Valid loss: 1.433 | F1 : 0.8302 | Valid F1: 0.446


Epoch:  13 | Loss: 0.4542 | Valid loss: 1.808 | F1 : 0.7683 | Valid F1: 0.4238


Epoch:  14 | Loss: 0.3133 | Valid loss: 1.783 | F1 : 0.8576 | Valid F1: 0.4534


Epoch:  15 | Loss: 0.275 | Valid loss: 1.863 | F1 : 0.8758 | Valid F1: 0.4461


Epoch:  16 | Loss: 0.2429 | Valid loss: 1.906 | F1 : 0.8898 | Valid F1: 0.4461


