/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2


Epoch:   0 | Loss: 0.9408 | Valid loss: 0.6775 | F1 : 0.4389 | Valid F1: 0.4448


Epoch:   1 | Loss: 5.373 | Valid loss: 0.6786 | F1 : 0.4391 | Valid F1: 0.4448


Epoch:   2 | Loss: 0.6803 | Valid loss: 0.6785 | F1 : 0.4391 | Valid F1: 0.4448


Epoch:   3 | Loss: 0.6794 | Valid loss: 0.6785 | F1 : 0.4391 | Valid F1: 0.4448


Epoch:   4 | Loss: 0.6794 | Valid loss: 0.6785 | F1 : 0.4391 | Valid F1: 0.4448


Epoch:   5 | Loss: 0.6794 | Valid loss: 0.6785 | F1 : 0.4391 | Valid F1: 0.4448


Epoch:   6 | Loss: 0.6794 | Valid loss: 0.6785 | F1 : 0.4391 | Valid F1: 0.4448


Epoch:   7 | Loss: 0.6794 | Valid loss: 0.6785 | F1 : 0.4391 | Valid F1: 0.4448


Epoch:   8 | Loss: 0.6794 | Valid loss: 0.6785 | F1 : 0.4391 | Valid F1: 0.4448


Epoch:   9 | Loss: 0.6794 | Valid loss: 0.6785 | F1 : 0.4391 | Valid F1: 0.4448
Evaluating Test Dataset
Test F1: 0.4378 | Test Acc: 0.59 


Epoch:   0 | Loss: 1.374 | Valid loss: 1.382 | F1 : 0.169 | Valid F1: 0.1404


Epoch:   1 | Loss: 1.352 | Valid loss: 1.374 | F1 : 0.2601 | Valid F1: 0.191


Epoch:   2 | Loss: 1.329 | Valid loss: 1.363 | F1 : 0.3443 | Valid F1: 0.2169


Epoch:   3 | Loss: 1.304 | Valid loss: 1.352 | F1 : 0.3699 | Valid F1: 0.2334


Epoch:   4 | Loss: 1.278 | Valid loss: 1.341 | F1 : 0.4113 | Valid F1: 0.2602


Epoch:   5 | Loss: 1.251 | Valid loss: 1.331 | F1 : 0.4523 | Valid F1: 0.2645


Epoch:   6 | Loss: 1.223 | Valid loss: 1.321 | F1 : 0.4941 | Valid F1: 0.2643


Epoch:   7 | Loss: 1.195 | Valid loss: 1.312 | F1 : 0.5342 | Valid F1: 0.2695


Epoch:   8 | Loss: 1.166 | Valid loss: 1.303 | F1 : 0.5777 | Valid F1: 0.287


Epoch:   9 | Loss: 1.137 | Valid loss: 1.295 | F1 : 0.6341 | Valid F1: 0.3124


Epoch:  10 | Loss: 1.108 | Valid loss: 1.286 | F1 : 0.6736 | Valid F1: 0.319


Epoch:  11 | Loss: 1.079 | Valid loss: 1.278 | F1 : 0.7147 | Valid F1: 0.3437


Epoch:  12 | Loss: 1.049 | Valid loss: 1.271 | F1 : 0.7486 | Valid F1: 0.3322


Epoch:  13 | Loss: 1.02 | Valid loss: 1.264 | F1 : 0.7695 | Valid F1: 0.3607


Epoch:  14 | Loss: 0.9905 | Valid loss: 1.257 | F1 : 0.7975 | Valid F1: 0.3556


Epoch:  15 | Loss: 0.9616 | Valid loss: 1.25 | F1 : 0.8178 | Valid F1: 0.3663


Epoch:  16 | Loss: 0.933 | Valid loss: 1.243 | F1 : 0.8336 | Valid F1: 0.3762


