/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2
Training simple Neural Network on Products dataset


Epoch:  44 | Loss: 0.2839 | Valid loss: 0.9374 | F1 : 0.9771 | Valid F1: 0.5589


Epoch:  45 | Loss: 0.2703 | Valid loss: 0.9385 | F1 : 0.9794 | Valid F1: 0.5589


Epoch:  46 | Loss: 0.2575 | Valid loss: 0.94 | F1 : 0.9826 | Valid F1: 0.5589


Epoch:  47 | Loss: 0.2454 | Valid loss: 0.9417 | F1 : 0.9834 | Valid F1: 0.5736


Epoch:  48 | Loss: 0.2339 | Valid loss: 0.9437 | F1 : 0.9858 | Valid F1: 0.5736


Epoch:  49 | Loss: 0.2231 | Valid loss: 0.946 | F1 : 0.9858 | Valid F1: 0.5736


Epoch:  50 | Loss: 0.2129 | Valid loss: 0.9484 | F1 : 0.9866 | Valid F1: 0.5736


Epoch:  51 | Loss: 0.2032 | Valid loss: 0.9511 | F1 : 0.9866 | Valid F1: 0.5665


Epoch:  52 | Loss: 0.1941 | Valid loss: 0.9539 | F1 : 0.9881 | Valid F1: 0.5665


Epoch:  53 | Loss: 0.1855 | Valid loss: 0.9569 | F1 : 0.9905 | Valid F1: 0.5668


Epoch:  54 | Loss: 0.1773 | Valid loss: 0.96 | F1 : 0.9929 | Valid F1: 0.5668


Epoch:  55 | Loss: 0.1697 | Valid loss: 0.9633 | F1 : 0.9945 | Valid F1: 0.5668


Epoch:  56 | Loss: 0.1624 | Valid loss: 0.9666 | F1 : 0.9968 | Valid F1: 0.5668


Epoch:  57 | Loss: 0.1556 | Valid loss: 0.9701 | F1 : 0.9976 | Valid F1: 0.5668


Epoch:  58 | Loss: 0.1491 | Valid loss: 0.9737 | F1 : 0.9984 | Valid F1: 0.5668


Epoch:  59 | Loss: 0.143 | Valid loss: 0.9773 | F1 : 0.9984 | Valid F1: 0.5668
Evaluating Test Dataset
Test F1: 0.6296 | Test Acc: 0.6312 
Training simple Neural Network on questions dataset


Epoch:   0 | Loss: 1.57 | Valid loss: 1.578 | F1 : 0.315 | Valid F1: 0.3397


Epoch:   1 | Loss: 1.427 | Valid loss: 1.443 | F1 : 0.4263 | Valid F1: 0.4353


Epoch:   2 | Loss: 1.268 | Valid loss: 1.298 | F1 : 0.5562 | Valid F1: 0.5419


Epoch:   3 | Loss: 1.127 | Valid loss: 1.18 | F1 : 0.6302 | Valid F1: 0.5822


Epoch:   4 | Loss: 0.989 | Valid loss: 1.071 | F1 : 0.6757 | Valid F1: 0.6221


Epoch:   5 | Loss: 0.8608 | Valid loss: 0.9728 | F1 : 0.7146 | Valid F1: 0.6408


Epoch:   6 | Loss: 0.7526 | Valid loss: 0.8937 | F1 : 0.7584 | Valid F1: 0.6649


Epoch:   7 | Loss: 0.665 | Valid loss: 0.8339 | F1 : 0.7866 | Valid F1: 0.6895


Epoch:   8 | Loss: 0.5948 | Valid loss: 0.7897 | F1 : 0.8073 | Valid F1: 0.7162


Epoch:   9 | Loss: 0.5383 | Valid loss: 0.7577 | F1 : 0.8245 | Valid F1: 0.7284
Evaluating Test Dataset
Test F1: 0.7472 | Test Acc: 0.75 
Training simple Neural Network on odia dataset


Epoch:   0 | Loss: 0.9617 | Valid loss: 0.9711 | F1 : 0.6077 | Valid F1: 0.5949


Epoch:   1 | Loss: 0.7774 | Valid loss: 0.7869 | F1 : 0.688 | Valid F1: 0.6946


Epoch:   2 | Loss: 0.6314 | Valid loss: 0.6495 | F1 : 0.7651 | Valid F1: 0.7553


Epoch:   3 | Loss: 0.5372 | Valid loss: 0.5688 | F1 : 0.7955 | Valid F1: 0.7794


Epoch:   4 | Loss: 0.487 | Valid loss: 0.5325 | F1 : 0.8138 | Valid F1: 0.7809


Epoch:   5 | Loss: 0.4582 | Valid loss: 0.5168 | F1 : 0.8255 | Valid F1: 0.7881


Epoch:   6 | Loss: 0.4382 | Valid loss: 0.5093 | F1 : 0.8327 | Valid F1: 0.7906


Epoch:   7 | Loss: 0.4226 | Valid loss: 0.5059 | F1 : 0.8394 | Valid F1: 0.7893


Epoch:   8 | Loss: 0.4098 | Valid loss: 0.5049 | F1 : 0.8445 | Valid F1: 0.7917


Epoch:   9 | Loss: 0.3992 | Valid loss: 0.5057 | F1 : 0.8485 | Valid F1: 0.7951
Evaluating Test Dataset
Test F1: 0.8127 | Test Acc: 0.8129 
Evaluation of simple Neural Network on Products dataset
Evaluation of simple Neural Network on 4dim dataset
Evaluation of simple Neural Network on questions dataset
Evaluation of simple Neural Network on odia dataset
