/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2


Epoch:   0 | Loss: 1.576 | Valid loss: 1.524 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   1 | Loss: 1.549 | Valid loss: 1.502 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   2 | Loss: 1.525 | Valid loss: 1.483 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   3 | Loss: 1.505 | Valid loss: 1.467 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   4 | Loss: 1.487 | Valid loss: 1.453 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   5 | Loss: 1.471 | Valid loss: 1.441 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   6 | Loss: 1.456 | Valid loss: 1.429 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   7 | Loss: 1.439 | Valid loss: 1.415 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   8 | Loss: 1.42 | Valid loss: 1.397 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   9 | Loss: 1.4 | Valid loss: 1.379 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:  10 | Loss: 1.386 | Valid loss: 1.369 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:  11 | Loss: 1.369 | Valid loss: 1.36 | F1 : 0.1744 | Valid F1: 0.1934


Epoch:  12 | Loss: 1.341 | Valid loss: 1.349 | F1 : 0.1975 | Valid F1: 0.2246


Epoch:  13 | Loss: 1.274 | Valid loss: 1.329 | F1 : 0.2116 | Valid F1: 0.2239


Epoch:  14 | Loss: 1.189 | Valid loss: 1.319 | F1 : 0.2585 | Valid F1: 0.2371


Epoch:  15 | Loss: 1.143 | Valid loss: 1.367 | F1 : 0.2575 | Valid F1: 0.2557


Epoch:  16 | Loss: 1.158 | Valid loss: 1.506 | F1 : 0.2427 | Valid F1: 0.2433


Epoch:  17 | Loss: 0.895 | Valid loss: 1.195 | F1 : 0.3887 | Valid F1: 0.3278


Epoch:  18 | Loss: 0.8634 | Valid loss: 1.182 | F1 : 0.386 | Valid F1: 0.3229


Epoch:  19 | Loss: 0.863 | Valid loss: 1.319 | F1 : 0.3668 | Valid F1: 0.3229


Epoch:  20 | Loss: 0.8753 | Valid loss: 1.391 | F1 : 0.3328 | Valid F1: 0.3129


Epoch:  21 | Loss: 0.8632 | Valid loss: 1.469 | F1 : 0.3295 | Valid F1: 0.2836


Epoch:  22 | Loss: 0.8078 | Valid loss: 1.421 | F1 : 0.3034 | Valid F1: 0.2857


Epoch:  23 | Loss: 0.7567 | Valid loss: 1.358 | F1 : 0.3137 | Valid F1: 0.2925


Epoch:  24 | Loss: 0.754 | Valid loss: 1.502 | F1 : 0.3096 | Valid F1: 0.2864


Epoch:  25 | Loss: 0.7141 | Valid loss: 1.358 | F1 : 0.3158 | Valid F1: 0.3043


Epoch:  26 | Loss: 0.7256 | Valid loss: 1.357 | F1 : 0.3174 | Valid F1: 0.3144


Epoch:  27 | Loss: 0.7395 | Valid loss: 1.339 | F1 : 0.3459 | Valid F1: 0.3159


