/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2


Epoch:   0 | Loss: 0.6698 | Valid loss: 0.6701 | F1 : 0.4389 | Valid F1: 0.4448


Epoch:   1 | Loss: 0.6511 | Valid loss: 0.6546 | F1 : 0.5211 | Valid F1: 0.5094


Epoch:   2 | Loss: 0.5906 | Valid loss: 0.6111 | F1 : 0.7051 | Valid F1: 0.6711


Epoch:   3 | Loss: 0.5492 | Valid loss: 0.589 | F1 : 0.7353 | Valid F1: 0.691


Epoch:   4 | Loss: 0.5245 | Valid loss: 0.5812 | F1 : 0.7452 | Valid F1: 0.7008


Epoch:   5 | Loss: 0.5066 | Valid loss: 0.5796 | F1 : 0.7566 | Valid F1: 0.7018


Epoch:   6 | Loss: 0.4896 | Valid loss: 0.5783 | F1 : 0.7672 | Valid F1: 0.7048


Epoch:   7 | Loss: 0.473 | Valid loss: 0.577 | F1 : 0.7768 | Valid F1: 0.7073


Epoch:   8 | Loss: 0.4574 | Valid loss: 0.5772 | F1 : 0.7861 | Valid F1: 0.7111


Epoch:   9 | Loss: 0.4434 | Valid loss: 0.5799 | F1 : 0.7944 | Valid F1: 0.7108
Evaluating Test Dataset
Test F1: 0.7168 | Test Acc: 0.7157 


Epoch:   0 | Loss: 1.426 | Valid loss: 1.477 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:   1 | Loss: 1.426 | Valid loss: 1.476 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:   2 | Loss: 1.426 | Valid loss: 1.476 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:   3 | Loss: 1.425 | Valid loss: 1.476 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:   4 | Loss: 1.425 | Valid loss: 1.476 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:   5 | Loss: 1.425 | Valid loss: 1.475 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:   6 | Loss: 1.425 | Valid loss: 1.475 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:   7 | Loss: 1.425 | Valid loss: 1.475 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:   8 | Loss: 1.425 | Valid loss: 1.475 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:   9 | Loss: 1.424 | Valid loss: 1.474 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:  10 | Loss: 1.424 | Valid loss: 1.474 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:  11 | Loss: 1.424 | Valid loss: 1.474 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:  12 | Loss: 1.424 | Valid loss: 1.474 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:  13 | Loss: 1.424 | Valid loss: 1.473 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:  14 | Loss: 1.424 | Valid loss: 1.473 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:  15 | Loss: 1.423 | Valid loss: 1.473 | F1 : 0.1071 | Valid F1: 0.06983


Epoch:  16 | Loss: 1.423 | Valid loss: 1.473 | F1 : 0.1071 | Valid F1: 0.06983


